SampleID	Gender	FastqR1	FastqR2	BAM	gVCF
NA12878	F	.	.	/cbio/users/gerrit/scratch/nextflow-out/NA12878/NA12878.md.recal.bam	.
NA12878_small	F	.	.	/cbio/users/gerrit/scratch/nextflow-out/NA12878_small/NA12878_small.md.bam	.
